feature,clv_importance_gain,clv_importance_split,churn_importance_gain,churn_importance_split,combined_importance_gain
spend_last_90d,42358696712.12109,1322,2549.820987917483,1104,42358699261.942085
spend_last_30d,23535447803.19922,682,979.1484593898058,490,23535448782.34768
avg_basket_size_90d,7883094196.808594,1123,2551.2775843068957,1280,7883096748.086178
unique_products_90d,4184453869.2109375,983,2009.279775083065,991,4184455878.4907126
frequency_recency_ratio,856413062.6953125,470,999.284399420023,540,856414061.9797119
orders_last_7d,784705990.0,38,1.2181199789047241,1,784705991.21812
customer_tenure_days,521292681.1953125,518,1784.6378318816423,665,521294465.83314437
frequency,483090302.0,146,2273.926941603422,107,483092575.92694163
spend_trend_30d_vs_90d,454013638.0,215,295.7889557182789,144,454013933.7889557
recency,377811514.40625,399,1280.8520762696862,581,377812795.2583263
orders_trend_30d_vs_90d,59210870.0,42,154.56232565641403,71,59211024.56232566
orders_last_30d,49707367.0,62,86.31478023529053,26,49707453.314780235
orders_last_90d,0.0,0,0.0,0,0.0
